gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,1,Blue,top,Phones,oe:player:a7ad04a90c42364813f58ac20a3b121,GamerLegion,oe:team:455551fe1d375c5bdf7385bf56a9722,Wukong,Nunu & Willump,Elise,Senna,Akali,Karthus,,,,,,1649,1,3,2,6,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6549,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14581.0,530.5397,0.264244,709.0115,621.6859,11.0,0.4002,1.0,0.0364,4.0,16.0,0.5822,11592,7952.0,289.339,0.222016,11450.0,,,228.0,226.0,2.0,1.0,0.0,8.2959,3121.0,4007.0,75.0,4025.0,4716.0,84.0,-904.0,-709.0,-9.0,0.0,0.0,1.0,2.0,0.0,0.0,5766.0,7015.0,121.0,6395.0,7086.0,129.0,-629.0,-71.0,-8.0,1.0,0.0,2.0,2.0,0.0,1.0,8012.0,9986.0,174.0,8316.0,9334.0,171.0,-304.0,652.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,9558.0,12376.0,211.0,10054.0,11759.0,215.0,-496.0,617.0,-4.0,1.0,3.0,2.0,2.0,0.0,3.0
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,2,Blue,jng,Rabble,oe:player:6d630f0b571f8381f483b6a6941909a,GamerLegion,oe:team:455551fe1d375c5bdf7385bf56a9722,Trundle,Nunu & Willump,Elise,Senna,Akali,Karthus,,,,,,1649,1,2,1,13,18,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7429.0,270.3093,0.134632,817.2226,830.2486,10.0,0.3639,10.0,0.3639,9.0,31.0,1.128,9381,5741.0,208.8902,0.160289,7675.0,,,124.0,25.0,99.0,48.0,9.0,4.5118,3122.0,3329.0,60.0,3328.0,3297.0,60.0,-206.0,32.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,4818.0,5153.0,88.0,5030.0,5190.0,96.0,-212.0,-37.0,-8.0,0.0,4.0,0.0,1.0,2.0,0.0,6876.0,6963.0,107.0,6673.0,7463.0,126.0,203.0,-500.0,-19.0,2.0,5.0,1.0,2.0,2.0,1.0,7829.0,7861.0,118.0,8089.0,8816.0,147.0,-260.0,-955.0,-29.0,2.0,7.0,1.0,3.0,2.0,1.0
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,3,Blue,mid,Nite,oe:player:d7432b52de9ff23e6aa98374fe63375,GamerLegion,oe:team:455551fe1d375c5bdf7385bf56a9722,Syndra,Nunu & Willump,Elise,Senna,Akali,Karthus,,,,,,1649,1,2,1,7,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12454.0,453.1474,0.225698,259.3936,133.3899,14.0,0.5094,3.0,0.1092,7.0,43.0,1.5646,11441,7801.0,283.8448,0.217801,9900.0,,,254.0,221.0,33.0,20.0,9.0,9.242,3555.0,5223.0,101.0,2950.0,4403.0,65.0,605.0,820.0,36.0,0.0,1.0,0.0,0.0,1.0,1.0,5860.0,8207.0,159.0,4751.0,7280.0,120.0,1109.0,927.0,39.0,0.0,1.0,0.0,0.0,1.0,1.0,8492.0,10846.0,207.0,6326.0,9378.0,160.0,2166.0,1468.0,47.0,1.0,4.0,0.0,0.0,1.0,2.0,9915.0,12582.0,239.0,7950.0,11617.0,201.0,1965.0,965.0,38.0,1.0,6.0,0.0,0.0,2.0,2.0
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,4,Blue,bot,Hjarnan,oe:player:e77cdf08626bdd7c16cd6b21c29d435,GamerLegion,oe:team:455551fe1d375c5bdf7385bf56a9722,Varus,Nunu & Willump,Elise,Senna,Akali,Karthus,,,,,,1649,1,10,2,5,18,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16036.0,583.4809,0.290613,503.9054,256.7738,9.0,0.3275,5.0,0.1819,2.0,29.0,1.0552,13720,10080.0,366.7677,0.281426,11200.0,,,231.0,204.0,27.0,20.0,3.0,8.4051,3825.0,3391.0,76.0,2649.0,2903.0,53.0,1176.0,488.0,23.0,2.0,1.0,2.0,0.0,2.0,2.0,6641.0,6166.0,132.0,4643.0,4679.0,94.0,1998.0,1487.0,38.0,3.0,1.0,2.0,1.0,2.0,3.0,9289.0,9309.0,191.0,6470.0,6694.0,137.0,2819.0,2615.0,54.0,4.0,4.0,2.0,1.0,2.0,4.0,11272.0,10706.0,212.0,8551.0,9046.0,190.0,2721.0,1660.0,22.0,7.0,4.0,2.0,1.0,3.0,4.0
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,5,Blue,sup,Visdom,oe:player:6369ba49db4cf35b35a7c47e3d4a4fd,GamerLegion,oe:team:455551fe1d375c5bdf7385bf56a9722,Thresh,Nunu & Willump,Elise,Senna,Akali,Karthus,,,,,,1649,1,1,1,14,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4680.0,170.285,0.0848133,315.2092,261.7586,31.0,1.128,11.0,0.4002,13.0,68.0,2.4742,7883,4243.0,154.3845,0.118468,6525.0,,,36.0,36.0,0.0,0.0,0.0,1.3099,2680.0,2852.0,15.0,2119.0,2397.0,13.0,561.0,455.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,4088.0,3831.0,20.0,3223.0,3595.0,18.0,865.0,236.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,5720.0,5685.0,32.0,4384.0,5365.0,27.0,1336.0,320.0,5.0,1.0,6.0,0.0,0.0,3.0,1.0,6663.0,6822.0,34.0,5176.0,6641.0,29.0,1487.0,181.0,5.0,1.0,9.0,1.0,0.0,4.0,2.0
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,6,Red,top,Lunddorf,oe:player:6cb2f925e1216835980ce1a01bb62f6,Vipers Inc,oe:team:79b1bfb5e365f605aee635bc9198945,Jax,Heimerdinger,Ziggs,Sett,Cassiopeia,Gragas,,,,,,1649,0,2,5,0,7,18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2547,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10944.0,398.205,0.280141,837.9624,597.0891,9.0,0.3275,0.0,0.0,1.0,11.0,0.4002,10831,7191.0,261.6495,0.285338,10883.0,,,235.0,225.0,10.0,8.0,1.0,8.5506,4025.0,4716.0,84.0,3121.0,4007.0,75.0,904.0,709.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,6395.0,7086.0,129.0,5766.0,7015.0,121.0,629.0,71.0,8.0,2.0,0.0,1.0,1.0,0.0,2.0,8316.0,9334.0,171.0,8012.0,9986.0,174.0,304.0,-652.0,-3.0,2.0,0.0,1.0,1.0,2.0,2.0,10054.0,11759.0,215.0,9558.0,12376.0,211.0,496.0,-617.0,4.0,2.0,0.0,3.0,1.0,3.0,2.0
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,7,Red,jng,Hidon,oe:player:c70fc06bd666e6e4921f6cd64c3bcd0,Vipers Inc,oe:team:79b1bfb5e365f605aee635bc9198945,Rek'Sai,Heimerdinger,Ziggs,Sett,Cassiopeia,Gragas,,,,,,1649,0,3,2,3,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2547,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4038.0,146.9254,0.103364,762.3529,468.8296,11.0,0.4002,14.0,0.5094,12.0,40.0,1.4554,8539,4899.0,178.2535,0.194398,8175.0,,,150.0,31.0,119.0,85.0,8.0,5.4579,3328.0,3297.0,60.0,3122.0,3329.0,60.0,206.0,-32.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,5030.0,5190.0,96.0,4818.0,5153.0,88.0,212.0,37.0,8.0,1.0,2.0,0.0,0.0,4.0,0.0,6673.0,7463.0,126.0,6876.0,6963.0,107.0,-203.0,500.0,19.0,2.0,2.0,1.0,2.0,5.0,1.0,8089.0,8816.0,147.0,7829.0,7861.0,118.0,260.0,955.0,29.0,3.0,2.0,1.0,2.0,7.0,1.0
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,8,Red,mid,Poulsen,oe:player:aaff7508ee773f986f0572a1a327601,Vipers Inc,oe:team:79b1bfb5e365f605aee635bc9198945,Ornn,Heimerdinger,Ziggs,Sett,Cassiopeia,Gragas,,,,,,1649,0,0,3,3,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2547,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4859.0,176.7981,0.124379,567.4712,634.7119,14.0,0.5094,2.0,0.0728,6.0,20.0,0.7277,8405,4765.0,173.3778,0.189081,8100.0,,,205.0,197.0,8.0,3.0,0.0,7.4591,2950.0,4403.0,65.0,3555.0,5223.0,101.0,-605.0,-820.0,-36.0,0.0,1.0,1.0,0.0,1.0,0.0,4751.0,7280.0,120.0,5860.0,8207.0,159.0,-1109.0,-927.0,-39.0,0.0,1.0,1.0,0.0,1.0,0.0,6326.0,9378.0,160.0,8492.0,10846.0,207.0,-2166.0,-1468.0,-47.0,0.0,1.0,2.0,1.0,4.0,0.0,7950.0,11617.0,201.0,9915.0,12582.0,239.0,-1965.0,-965.0,-38.0,0.0,2.0,2.0,1.0,6.0,0.0
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,9,Red,bot,DenVoksne,oe:player:ccfb5c69ebcc2008b1dca4ef5c56142,Vipers Inc,oe:team:79b1bfb5e365f605aee635bc9198945,Aphelios,Heimerdinger,Ziggs,Sett,Cassiopeia,Gragas,,,,,,1649,0,2,5,3,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2547,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15780.0,574.1662,0.403932,469.1571,339.7696,7.0,0.2547,2.0,0.0728,3.0,14.0,0.5094,10103,6463.0,235.1607,0.256453,9675.0,,,213.0,195.0,18.0,14.0,0.0,7.7502,2649.0,2903.0,53.0,3825.0,3391.0,76.0,-1176.0,-488.0,-23.0,0.0,2.0,2.0,2.0,1.0,2.0,4643.0,4679.0,94.0,6641.0,6166.0,132.0,-1998.0,-1487.0,-38.0,1.0,2.0,3.0,3.0,1.0,2.0,6470.0,6694.0,137.0,9289.0,9309.0,191.0,-2819.0,-2615.0,-54.0,1.0,2.0,4.0,4.0,4.0,2.0,8551.0,9046.0,190.0,11272.0,10706.0,212.0,-2721.0,-1660.0,-22.0,1.0,3.0,4.0,7.0,4.0,2.0
ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EUM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,10,Red,sup,BeBopBulli,oe:player:e31865407684bdc0d33f584a8e1979e,Vipers Inc,oe:team:79b1bfb5e365f605aee635bc9198945,Tahm Kench,Heimerdinger,Ziggs,Sett,Cassiopeia,Gragas,,,,,,1649,0,0,3,4,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2547,0.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3445.0,125.3487,0.0881841,477.926,443.0685,34.0,1.2371,7.0,0.2547,14.0,61.0,2.2195,5523,1883.0,68.5143,0.0747302,5425.0,,,29.0,29.0,0.0,0.0,0.0,1.0552,2119.0,2397.0,13.0,2680.0,2852.0,15.0,-561.0,-455.0,-2.0,0.0,2.0,0.0,1.0,2.0,0.0,3223.0,3595.0,18.0,4088.0,3831.0,20.0,-865.0,-236.0,-2.0,0.0,3.0,0.0,1.0,3.0,0.0,4384.0,5365.0,27.0,5720.0,5685.0,32.0,-1336.0,-320.0,-5.0,0.0,3.0,1.0,1.0,6.0,0.0,5176.0,6641.0,29.0,6663.0,6822.0,34.0,-1487.0,-181.0,-5.0,0.0,4.0,2.0,1.0,9.0,1.0
